Month,Year,Date,Office and Warehouse,"Stores, restaurants, garages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1939,1/1/39,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1939,2/1/39,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1939,3/1/39,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1939,4/1/39,10,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1939,5/1/39,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1939,6/1/39,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1939,7/1/39,12,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1939,8/1/39,12,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1939,9/1/39,13,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1939,10/1/39,15,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1939,11/1/39,17,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1939,12/1/39,17,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1940,1/1/40,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1940,2/1/40,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1940,3/1/40,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1940,4/1/40,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1940,5/1/40,13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1940,6/1/40,14,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1940,7/1/40,15,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1940,8/1/40,15,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1940,9/1/40,15,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1940,10/1/40,15,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1940,11/1/40,15,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1940,12/1/40,15,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1941,1/1/41,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1941,2/1/41,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1941,3/1/41,15,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1941,4/1/41,17,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1941,5/1/41,17,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1941,6/1/41,20,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1941,7/1/41,22,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1941,8/1/41,21,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1941,9/1/41,23,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1941,10/1/41,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1941,11/1/41,19,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1941,12/1/41,19,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1942,1/1/42,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1942,2/1/42,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1942,3/1/42,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1942,4/1/42,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1942,5/1/42,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1942,6/1/42,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1942,7/1/42,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1942,8/1/42,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1942,9/1/42,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1942,10/1/42,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1942,11/1/42,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1942,12/1/42,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1943,1/1/43,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1943,2/1/43,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1943,3/1/43,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1943,4/1/43,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1943,5/1/43,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1943,6/1/43,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1943,7/1/43,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1943,8/1/43,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1943,9/1/43,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1943,10/1/43,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1943,11/1/43,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1943,12/1/43,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1944,1/1/44,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1944,2/1/44,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1944,3/1/44,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1944,4/1/44,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1944,5/1/44,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1944,6/1/44,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1944,7/1/44,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1944,8/1/44,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1944,9/1/44,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1944,10/1/44,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1944,11/1/44,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1944,12/1/44,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1945,1/1/45,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1945,2/1/45,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1945,3/1/45,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1945,4/1/45,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1945,5/1/45,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1945,6/1/45,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1945,7/1/45,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1945,8/1/45,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1945,9/1/45,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1945,10/1/45,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1945,11/1/45,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1945,12/1/45,13,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1946,1/1/46,17,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1946,2/1/46,21,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1946,3/1/46,25,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,1946,4/1/46,28,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1946,5/1/46,30,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun,1946,6/1/46,35,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,1946,7/1/46,39,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,1946,8/1/46,45,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,1946,9/1/46,45,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,1946,10/1/46,47,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,1946,11/1/46,45,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec,1946,12/1/46,40,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan ,1947,1/1/47,33,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb,1947,2/1/47,28,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar,1947,3/1/47,21,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
