Year,Offices and Warehouses,"Stores, Restaurants and Garages",Industrial,Total
1915,NA,NA,197,478
1916,NA,NA,262,716
1917,NA,NA,364,800
1918,NA,NA,449,731
1919,NA,NA,621,1082
1920,258,367,1099,1964
1921,258,312,574,1434
1922,286,327,467,1457
1923,292,424,549,1697
1924,304,436,460,1675
1925,357,583,513,2060
1926,393,714,727,2513
1927,409,736,696,2534
1928,451,670,802,2573
1929,619,516,949,2694
1930,596,297,532,2003
1931,276,178,221,1099
1932,117,106,74,502
1933,44,86,176,406
1934,66,107,191,456
1935,75,136,158,472
1936,111,179,266,713
1937,137,250,492,1085
1938,95,190,232,764
1939,81,211,254,786
1940,91,257,442,1025
1941,123,286,801,1482
1942,62,93,346,635
1943,14,19,156,233
1944,17,39,208,351
1945,56,147,642,1020
1946,331,801,1689,3341
1947,237,619,1702,3142
1948,352,901,1397,3621
1949,321,706,972,3228
1950,402,886,1062,3777
1951,544,827,2117,5152
1952,515,622,2320,5014
1953,739,1052,2229,5680
1954,958,1254,2030,6250
1955,1311,1907,2399,7611
1956,1684,1947,3084,8818
1957,1893,1671,3557,9556
1958,2013,1576,2382,8675
1959,1954,1976,2106,8859
1960,2121,2059,2851,10149
1961,2398,2276,2780,10734
1962,2570,2385,2949,11526
1963,2932,2268,2962,11863
1964,3222,2434,3303,12975
