Month,TOTAL CONSTRUCTION,PRIVATE CONSTRUCTION,RESIDENTIAL BUILDINGS,NEW HOUSING UNITS,1 UNIT,2 OR MORE UNITS,IMPROVEMENTS,NONRESIDENTIAL BUILDINGS,INDUSTRIAL,OFFICE,"HOTELS, MOTELS",OTHER COMMERCIAL,RELIGIOUS,EDUCATIONAL,HOSPITAL AND INSTITUTIONAL,MISCELLANEOUS,FARM NONRESIDENTIAL,PUBLIC UTILITIES,TELECOMMUNICATIONS,RAILROAD,ELECTRIC LIGHT AND POWER,GAS,PETROLEUM PIPELINES,ALL OTHER PRIVATE,PUBLIC CONSTRUCTION,BUILDINGS,HOUSING AND REDEVELOPMENT,INDUSTRIAL,EDUCATIONAL,HOSPITAL,OTHER,HIGHWAYS AND STREETS,MILITARY FACILITIES,CONSERVATION AND DEVELOPMENT,OTHER PUBLIC CONSTRUCTION,SEWER SYSTEMS,WATER SUPPLY FACILITIES,MISCELLANEOUS NONBUILDING
1/1/64,4847,3622,2043,1648,1183,465,(NA),1122,309,0,130,367,72,62,85,98,(NA),(NA),87,(NA),(NA),(NA),(NA),20,1225,479,40,17,262,34,126,338,72,123,213,88,58,67
2/1/64,4510,3416,1853,1519,1101,418,(NA),1118,302,0,121,378,66,56,89,107,(NA),(NA),92,(NA),(NA),(NA),(NA),21,1094,469,38,18,244,34,135,257,60,115,193,85,51,57
3/1/64,5325,3966,2259,1774,1307,467,(NA),1215,347,0,117,412,76,54,104,107,(NA),(NA),104,(NA),(NA),(NA),(NA),23,1360,519,39,16,282,36,146,422,65,113,241,94,76,71
4/1/64,5996,4380,2442,1895,1389,506,(NA),1386,396,0,121,486,83,65,113,122,(NA),(NA),111,(NA),(NA),(NA),(NA),26,1616,611,42,19,320,41,189,530,66,127,282,107,94,81
5/1/64,6353,4616,2602,2034,1503,531,(NA),1428,409,0,128,522,78,72,117,102,(NA),(NA),111,(NA),(NA),(NA),(NA),30,1737,609,45,18,340,41,165,626,76,126,300,117,92,91
6/1/64,6954,4936,2793,2201,1616,585,(NA),1516,426,0,132,556,93,82,124,104,(NA),(NA),118,(NA),(NA),(NA),(NA),36,2018,687,47,23,369,41,207,759,75,176,321,133,83,105
7/1/64,7257,5175,2962,2299,1679,620,(NA),1581,456,0,135,585,97,81,139,89,(NA),(NA),112,(NA),(NA),(NA),(NA),39,2082,652,50,17,390,43,152,859,65,163,343,144,82,117
8/1/64,7284,5242,3027,2315,1699,616,(NA),1584,458,0,140,595,96,78,142,76,(NA),(NA),101,(NA),(NA),(NA),(NA),35,2042,641,55,18,368,42,158,818,88,162,333,135,82,116
9/1/64,7029,5077,2825,2264,1669,595,(NA),1605,477,0,141,584,99,76,147,81,(NA),(NA),117,(NA),(NA),(NA),(NA),31,1952,616,57,21,331,41,166,755,91,175,315,119,83,113
10/1/64,6975,5067,2750,2208,1637,571,(NA),1651,468,0,135,626,103,75,163,80,(NA),(NA),122,(NA),(NA),(NA),(NA),26,1907,604,58,20,309,40,177,716,103,178,306,110,84,112
11/1/64,6620,4905,2663,2125,1569,556,(NA),1605,475,0,128,631,92,61,137,82,(NA),(NA),113,(NA),(NA),(NA),(NA),26,1715,565,53,19,293,39,161,621,89,151,289,101,83,105
12/1/64,5947,4490,2306,1816,1297,519,(NA),1572,505,0,121,588,91,63,125,80,(NA),(NA),126,(NA),(NA),(NA),(NA),25,1456,546,43,18,282,37,166,432,60,141,277,92,88,97
1/1/65,5113,3817,1962,1574,1144,430,(NA),1338,387,0,122,482,81,53,139,75,(NA),(NA),78,(NA),(NA),(NA),(NA),26,1296,500,37,20,265,36,142,355,54,126,261,84,87,90
2/1/65,4782,3613,1760,1411,1033,378,(NA),1339,426,0,118,468,64,50,132,81,(NA),(NA),98,(NA),(NA),(NA),(NA),26,1169,479,33,16,247,35,148,276,46,123,245,76,86,83
3/1/65,5712,4254,2159,1641,1229,412,(NA),1515,508,0,117,533,78,57,127,97,(NA),(NA),127,(NA),(NA),(NA),(NA),28,1458,547,39,20,302,41,145,440,59,136,276,91,82,103
4/1/65,6339,4658,2362,1818,1362,456,(NA),1675,528,0,121,608,107,61,136,116,(NA),(NA),121,(NA),(NA),(NA),(NA),31,1680,606,39,18,354,47,148,550,64,151,309,103,87,119
5/1/65,6925,5059,2560,2021,1519,502,(NA),1845,626,0,134,638,112,69,132,135,(NA),(NA),121,(NA),(NA),(NA),(NA),36,1866,657,45,19,376,48,169,648,74,162,325,105,102,118
6/1/65,7486,5367,2752,2209,1651,558,(NA),1912,639,0,139,665,112,72,138,147,(NA),(NA),132,(NA),(NA),(NA),(NA),36,2119,711,58,24,393,44,192,777,79,209,343,105,128,110
