Date,Total Private Construction,Residential (inc. Improvements)2,New single family,New multifamily,Nonresidential,Lodging,Office,General,Financial,Commercial (inc. Farm),Automotive,Sales,Service/parts,Parking,Food/beverage,Food,Dining/drinking,Multi-retail,General merchandise,Shopping center,Shopping mall,Other commercial,Drug store,Building supply store,Other stores,Warehouse,General commercial,Mini-storage,Health care,Hospital,Medical building,Special care,Date,Educational,Preschool,Primary/secondary,Higher education,Instructional,Dormitory,Sports/recreation,Other educational,Gallery/museum,Religious,House of worship,Other religious,Auxiliary building,Amusement and Recreation,Theme/amusement park,Sports,Fitness,Performance/ meeting center,Social center,Movie theater/ studio,Transportation,Air,Land,Communication,Power (inc. Gas and Oil),Electric,Manufacturing,Food/beverage/ tobacco,Chemical,Plastic/rubber,Nonmetallic mineral,Fabricated metal,Computer/ electronic/ electrical,Transportation equipment
1/1/93,"24,043","13,430","9,061",683,"10,613",280,"1,631","1,323",297,"2,186",171,47,97,20,388,167,189,698,255,266,136,340,11,48,255,357,346,8,"1,077",675,245,157,Jan-93,275,6,27,193,115,33,15,40,31,273,194,78,21,279,42,28,18,10,119,15,250,56,185,645,"1,793","1,206","1,786",167,254,166,6,31,151,217
2/1/93,"22,794","12,141","8,460",767,"10,653",285,"1,661","1,446",204,"2,232",161,44,97,17,469,155,198,728,258,289,137,298,13,46,200,339,335,1,"1,101",712,213,176,Feb-93,283,5,26,193,112,30,12,51,34,258,167,90,26,324,44,27,27,13,132,19,207,53,141,651,"1,784","1,291","1,767",161,276,178,6,30,143,171
3/1/93,"25,667","14,007","9,880",891,"11,660",382,"1,702","1,498",194,"2,445",105,30,53,18,467,178,221,831,284,331,172,361,18,63,238,413,412,0,"1,139",756,209,175,Mar-93,294,9,31,204,123,27,12,44,35,314,214,99,25,282,39,30,23,15,119,14,269,61,191,877,"2,074","1,547","1,795",137,260,124,8,29,143,184
4/1/93,"27,609","15,762","10,478",815,"11,847",311,"1,818","1,595",214,"2,549",148,20,100,19,489,218,209,883,292,376,170,413,22,99,258,330,329,0,"1,177",770,243,164,Apr-93,322,6,40,220,137,31,13,46,31,322,234,87,32,352,54,40,26,25,138,16,357,75,272,762,"2,018","1,371","1,758",147,327,123,6,24,205,168
5/1/93,"29,839","17,390","11,379",862,"12,449",472,"1,724","1,530",187,"2,887",161,47,78,23,561,257,148,"1,055",348,448,158,439,25,100,285,364,363,0,"1,199",798,238,163,May-93,394,11,53,269,163,43,15,52,31,311,224,85,33,391,60,40,37,25,142,19,414,85,313,756,"1,863","1,227","1,949",155,430,135,7,39,245,197
6/1/93,"31,842","18,953","12,307",976,"12,889",459,"1,661","1,469",187,"3,029",174,37,85,28,600,311,167,"1,064",394,464,150,467,23,98,299,419,418,0,"1,272",826,245,201,Jun-93,487,18,74,335,171,73,18,53,31,302,220,80,33,423,56,45,47,29,131,31,442,101,340,858,"1,964","1,333","1,883",159,380,142,13,40,200,220
7/1/93,"32,303","19,600","12,958","1,017","12,703",395,"1,579","1,380",194,"2,908",157,26,77,42,455,222,157,"1,064",351,467,184,506,46,98,327,405,388,15,"1,252",797,257,198,Jul-93,530,13,89,368,178,80,19,51,28,322,244,77,34,405,40,55,33,29,147,30,425,91,332,824,"2,008","1,389","1,930",171,395,127,27,40,150,215
8/1/93,"33,546","20,071","13,373","1,035","13,475",415,"1,659","1,449",206,"3,158",143,34,57,44,503,304,135,"1,093",353,500,170,632,55,74,464,493,472,18,"1,353",854,258,241,Aug-93,585,15,108,404,186,78,19,43,26,345,257,87,33,428,33,55,59,31,130,36,459,116,341,841,"2,087","1,417","2,033",163,490,175,21,49,149,182
9/1/93,"34,208","20,498","13,545",968,"13,710",460,"1,661","1,432",223,"3,369",211,41,118,50,515,268,138,"1,174",367,495,215,644,26,58,522,514,493,21,"1,342",906,220,216,Sep-93,453,20,92,290,168,34,21,42,28,394,279,114,51,436,34,65,58,20,113,36,482,115,358,840,"2,044","1,433","2,104",184,493,205,28,42,135,172
10/1/93,"33,414","19,926","13,611",941,"13,488",402,"1,588","1,388",195,"3,356",188,37,103,48,581,290,140,"1,074",324,459,198,666,40,56,517,523,506,17,"1,360",923,224,213,Oct-93,430,21,78,272,159,31,25,45,31,354,245,107,43,461,28,57,69,25,115,42,462,94,347,825,"2,014","1,418","2,093",200,515,182,22,43,169,188
